"number","incident_state","active","reassignment_count","reopen_count","sys_mod_count","made_sla","caller_id","opened_by","opened_at","sys_created_by","sys_created_at","sys_updated_by","updated_at","contact_type","location","category","subcategory","u_symptom","cmdb_ci","impact","urgency","priority","assignment_group","assigned_to","knowledge","u_priority_confirmation","notify","problem_id","rfc","vendor","caused_by","closed_code","resolved_by","resolved_at","closed_at","duration","created_at_stc","updated_at_stc","opened_at_stc","resolved_at_stc","closed_at_stc","elapsed_stc","remaining_stc","sojourn_set_stc","sojourn_mset_stc","sojourn_seq_stc","seq_state_id","set_state_id","mset_state_id"
"INC0000086","New","True",1,0,5,"True","Caller 2222","Opener 13","2016-02-29 08:43:00","Creator 10","2016-02-29 08:49:00","Updater 390","2016-02-29 10:07:00","Phone","Location 78","Notebook","Not apply","No connection","","2 - Medium","2 - Medium","3 - Moderate","Group 22","","True","False","Do Not Notify","PRB0040025","","","","Solved (Work Around)","Resolver 57","2016-03-01 15:45:00","2016-03-06 16:00:00",544620,1456746540,1456751220,1456746180,1456857900,1457290800,5040,539580,0,0,0,0,0,0
"INC0000086","New","True",1,0,6,"True","Caller 2222","Opener 13","2016-02-29 08:43:00","Creator 10","2016-02-29 08:49:00","Updater 207","2016-03-01 15:40:00","Phone","Location 78","Notebook","Not apply","No connection","","2 - Medium","2 - Medium","3 - Moderate","Group 22","","True","False","Do Not Notify","PRB0040025","","","","Solved (Work Around)","Resolver 57","2016-03-01 15:45:00","2016-03-06 16:00:00",544620,1456746540,1456857600,1456746180,1456857900,1457290800,111420,433200,0,0,0,0,0,0
"INC0000086","Resolved","True",1,0,7,"True","Caller 2222","Opener 13","2016-02-29 08:43:00","Creator 10","2016-02-29 08:49:00","Updater 207","2016-03-01 15:45:00","Phone","Location 78","Notebook","Not apply","No connection","","2 - Medium","2 - Medium","3 - Moderate","Group 22","","True","False","Do Not Notify","PRB0040025","","","","Solved (Work Around)","Resolver 57","2016-03-01 15:45:00","2016-03-06 16:00:00",544620,1456746540,1456857900,1456746180,1456857900,1457290800,111720,432900,0,0,0,0,0,0
"INC0000086","Closed","False",1,0,8,"True","Caller 2222","Opener 13","2016-02-29 08:43:00","Creator 10","2016-02-29 08:49:00","Updater 770","2016-03-06 16:00:00","Phone","Location 78","Notebook","Not apply","No connection","","2 - Medium","2 - Medium","3 - Moderate","Group 22","","True","False","Do Not Notify","PRB0040025","","","","Solved (Work Around)","Resolver 57","2016-03-01 15:45:00","2016-03-06 16:00:00",544620,1456746540,1457290800,1456746180,1456857900,1457290800,544620,0,0,0,0,0,0,0
"INC0000099","New","True",0,0,0,"True","Caller 4973","Opener 74","2016-02-29 09:03:00","Creator 66","2016-02-29 09:06:00","Updater 291","2016-02-29 09:06:00","Phone","Location 42","Notebook","Not apply","Replacement","","2 - Medium","2 - Medium","3 - Moderate","Group 66","Assigned to 181","True","False","Do Not Notify","","","","","Other","Resolver 169","2016-03-01 09:05:00","2016-03-06 10:00:00",521820,1456747560,1456747560,1456747380,1456833900,1457269200,180,521640,0,0,0,0,0,0
"INC0000099","New","True",1,0,1,"True","Caller 4973","Opener 74","2016-02-29 09:03:00","Creator 66","2016-02-29 09:06:00","Updater 633","2016-02-29 09:13:00","Phone","Location 42","Notebook","Not apply","Replacement","","2 - Medium","2 - Medium","3 - Moderate","Group 29","Assigned to 181","True","False","Do Not Notify","","","","","Other","Resolver 169","2016-03-01 09:05:00","2016-03-06 10:00:00",521820,1456747560,1456747980,1456747380,1456833900,1457269200,600,521220,0,0,0,0,0,0
"INC0000099","Resolved","True",1,0,2,"True","Caller 4973","Opener 74","2016-02-29 09:03:00","Creator 66","2016-02-29 09:06:00","Updater 667","2016-03-01 09:05:00","Phone","Location 42","Notebook","Not apply","Replacement","","2 - Medium","2 - Medium","3 - Moderate","Group 29","Assigned to 181","True","False","Do Not Notify","","","","","Other","Resolver 169","2016-03-01 09:05:00","2016-03-06 10:00:00",521820,1456747560,1456833900,1456747380,1456833900,1457269200,86520,435300,0,0,0,0,0,0
"INC0000099","Closed","False",1,0,3,"True","Caller 4973","Opener 74","2016-02-29 09:03:00","Creator 66","2016-02-29 09:06:00","Updater 770","2016-03-06 10:00:00","Phone","Location 42","Notebook","Not apply","Replacement","","2 - Medium","2 - Medium","3 - Moderate","Group 29","Assigned to 181","True","False","Do Not Notify","","","","","Other","Resolver 169","2016-03-01 09:05:00","2016-03-06 10:00:00",521820,1456747560,1457269200,1456747380,1456833900,1457269200,521820,0,0,0,0,0,0,0
"INC0000159","New","True",0,0,0,"True","Caller 3630","Opener 74","2016-02-29 10:17:00","Creator 66","2016-02-29 10:22:00","Updater 291","2016-02-29 10:22:00","Phone","Location 111","Notebook","Not apply","Slowness","","2 - Medium","2 - Medium","3 - Moderate","Group 66","","True","False","Do Not Notify","","","","","Solved (Permanently)","Resolver 199","2016-03-02 10:09:00","2016-03-07 11:00:00",607380,1456752120,1456752120,1456751820,1456924140,1457359200,300,607080,0,0,0,0,0,0
"INC0000159","New","True",0,0,1,"True","Caller 3630","Opener 74","2016-02-29 10:17:00","Creator 66","2016-02-29 10:22:00","Updater 291","2016-02-29 10:23:00","Phone","Location 111","Notebook","Not apply","Slowness","","2 - Medium","2 - Medium","3 - Moderate","Group 66","","True","False","Do Not Notify","","","","","Solved (Permanently)","Resolver 199","2016-03-02 10:09:00","2016-03-07 11:00:00",607380,1456752120,1456752180,1456751820,1456924140,1457359200,360,607020,0,0,0,0,0,0
"INC0000159","New","True",1,0,3,"True","Caller 3630","Opener 74","2016-02-29 10:17:00","Creator 66","2016-02-29 10:22:00","Updater 291","2016-02-29 10:27:00","Phone","Location 111","Notebook","Not apply","Slowness","","2 - Medium","2 - Medium","3 - Moderate","Group 27","","True","False","Do Not Notify","","","","","Solved (Permanently)","Resolver 199","2016-03-02 10:09:00","2016-03-07 11:00:00",607380,1456752120,1456752420,1456751820,1456924140,1457359200,600,606780,0,0,0,0,0,0
"INC0000159","Resolved","True",1,0,4,"True","Caller 3630","Opener 74","2016-02-29 10:17:00","Creator 66","2016-02-29 10:22:00","Updater 788","2016-03-02 09:01:00","Phone","Location 111","Notebook","Not apply","Slowness","","2 - Medium","2 - Medium","3 - Moderate","Group 27","","True","False","Do Not Notify","","","","","Solved (Permanently)","Resolver 199","2016-03-02 10:09:00","2016-03-07 11:00:00",607380,1456752120,1456920060,1456751820,1456924140,1457359200,168240,439140,0,0,0,0,0,0
"INC0000159","Resolved","True",1,0,5,"True","Caller 3630","Opener 74","2016-02-29 10:17:00","Creator 66","2016-02-29 10:22:00","Updater 788","2016-03-02 10:09:00","Phone","Location 111","Notebook","Not apply","Slowness","","2 - Medium","2 - Medium","3 - Moderate","Group 27","","True","False","Do Not Notify","","","","","Solved (Permanently)","Resolver 199","2016-03-02 10:09:00","2016-03-07 11:00:00",607380,1456752120,1456924140,1456751820,1456924140,1457359200,172320,435060,0,0,0,0,0,0
"INC0000159","Closed","False",1,0,6,"True","Caller 3630","Opener 74","2016-02-29 10:17:00","Creator 66","2016-02-29 10:22:00","Updater 770","2016-03-07 11:00:00","Phone","Location 111","Notebook","Not apply","Slowness","","2 - Medium","2 - Medium","3 - Moderate","Group 27","","True","False","Do Not Notify","","","","","Solved (Permanently)","Resolver 199","2016-03-02 10:09:00","2016-03-07 11:00:00",607380,1456752120,1457359200,1456751820,1456924140,1457359200,607380,0,0,0,0,0,0,0
"INC0000171","New","True",0,0,0,"True","Caller 2787","Opener 74","2016-02-29 10:33:00","",NA,"Updater 770","2016-02-29 10:33:00","Phone","Location 46","Notebook","Not apply","Not connect","","2 - Medium","2 - Medium","3 - Moderate","Group 66","","True","False","Do Not Notify","","","","","Solved Remotely (Permanently)","Resolver 123","2016-03-18 13:44:00","2016-03-24 18:59:00",2103960,NA,1456752780,1456752780,1458319440,1458856740,0,2103960,0,0,0,0,0,0
"INC0000171","New","True",0,0,1,"True","Caller 2787","Opener 74","2016-02-29 10:33:00","",NA,"Updater 291","2016-02-29 10:38:00","Phone","Location 46","Notebook","Not apply","Not connect","","1 - High","2 - Medium","2 - High","Group 66","","True","False","Do Not Notify","","","","","Solved Remotely (Permanently)","Resolver 123","2016-03-18 13:44:00","2016-03-24 18:59:00",2103960,NA,1456753080,1456752780,1458319440,1458856740,300,2103660,0,0,0,0,0,0
"INC0000171","New","True",0,0,2,"True","Caller 2787","Opener 74","2016-02-29 10:33:00","",NA,"Updater 113","2016-03-01 15:15:00","Phone","Location 46","Notebook","Not apply","Not connect","","1 - High","2 - Medium","2 - High","Group 66","","True","False","Do Not Notify","","","","","Solved Remotely (Permanently)","Resolver 123","2016-03-18 13:44:00","2016-03-24 18:59:00",2103960,NA,1456856100,1456752780,1458319440,1458856740,103320,2000640,0,0,0,0,0,0
"INC0000171","Awaiting User Info","True",0,0,3,"True","Caller 2787","Opener 74","2016-02-29 10:33:00","",NA,"Updater 113","2016-03-01 15:15:00","Phone","Location 46","Notebook","Not apply","Not connect","","1 - High","2 - Medium","2 - High","Group 66","","True","False","Do Not Notify","","","","","Solved Remotely (Permanently)","Resolver 123","2016-03-18 13:44:00","2016-03-24 18:59:00",2103960,NA,1456856100,1456752780,1458319440,1458856740,103320,2000640,0,0,0,0,0,0
"INC0000171","Awaiting User Info","True",0,0,4,"True","Caller 2787","Opener 74","2016-02-29 10:33:00","",NA,"Updater 633","2016-03-03 14:46:00","Phone","Location 46","Notebook","Not apply","Not connect","","1 - High","2 - Medium","2 - High","Group 66","","True","False","Do Not Notify","","","","","Solved Remotely (Permanently)","Resolver 123","2016-03-18 13:44:00","2016-03-24 18:59:00",2103960,NA,1457027160,1456752780,1458319440,1458856740,274380,1829580,0,0,0,0,0,0
"INC0000171","Awaiting User Info","True",1,0,5,"True","Caller 2787","Opener 74","2016-02-29 10:33:00","",NA,"Updater 633","2016-03-04 15:05:00","Phone","Location 46","Notebook","Not apply","Not connect","","1 - High","2 - Medium","2 - High","Group 28","","True","False","Do Not Notify","","","","","Solved Remotely (Permanently)","Resolver 123","2016-03-18 13:44:00","2016-03-24 18:59:00",2103960,NA,1457114700,1456752780,1458319440,1458856740,361920,1742040,0,0,0,0,0,0
"INC0000171","Awaiting User Info","True",2,0,6,"True","Caller 2787","Opener 74","2016-02-29 10:33:00","",NA,"Updater 114","2016-03-04 17:52:00","Phone","Location 46","Notebook","Not apply","Not connect","","1 - High","2 - Medium","2 - High","Group 22","","True","False","Do Not Notify","","","","","Solved Remotely (Permanently)","Resolver 123","2016-03-18 13:44:00","2016-03-24 18:59:00",2103960,NA,1457124720,1456752780,1458319440,1458856740,371940,1732020,0,0,0,0,0,0
"INC0000171","Awaiting User Info","True",3,0,10,"True","Caller 2787","Opener 74","2016-02-29 10:33:00","",NA,"Updater 114","2016-03-14 09:19:00","Phone","Location 46","Notebook","Not apply","Not connect","","1 - High","2 - Medium","2 - High","","","True","False","Do Not Notify","","","","","Solved Remotely (Permanently)","Resolver 123","2016-03-18 13:44:00","2016-03-24 18:59:00",2103960,NA,1457957940,1456752780,1458319440,1458856740,1205160,898800,0,0,0,0,0,0
"INC0000171","Awaiting User Info","True",3,0,11,"True","Caller 2787","Opener 74","2016-02-29 10:33:00","",NA,"Updater 371","2016-03-16 16:00:00","Phone","Location 46","Notebook","Not apply","Not connect","","1 - High","2 - Medium","2 - High","","","True","False","Do Not Notify","","","","","Solved Remotely (Permanently)","Resolver 123","2016-03-18 13:44:00","2016-03-24 18:59:00",2103960,NA,1458154800,1456752780,1458319440,1458856740,1402020,701940,0,0,0,0,0,0
"INC0000171","Awaiting User Info","True",3,0,12,"True","Caller 2787","Opener 74","2016-02-29 10:33:00","",NA,"Updater 488","2016-03-17 10:27:00","Phone","Location 46","Notebook","Not apply","Not connect","","1 - High","2 - Medium","2 - High","","","True","False","Do Not Notify","","","","","Solved Remotely (Permanently)","Resolver 123","2016-03-18 13:44:00","2016-03-24 18:59:00",2103960,NA,1458221220,1456752780,1458319440,1458856740,1468440,635520,0,0,0,0,0,0
"INC0000171","Awaiting User Info","True",3,0,13,"True","Caller 2787","Opener 74","2016-02-29 10:33:00","",NA,"Updater 488","2016-03-18 13:43:00","Phone","Location 46","Notebook","Not apply","Not connect","","1 - High","2 - Medium","2 - High","","","True","False","Do Not Notify","","","","","Solved Remotely (Permanently)","Resolver 123","2016-03-18 13:44:00","2016-03-24 18:59:00",2103960,NA,1458319380,1456752780,1458319440,1458856740,1566600,537360,0,0,0,0,0,0
"INC0000171","Awaiting User Info","True",3,0,14,"True","Caller 2787","Opener 74","2016-02-29 10:33:00","",NA,"Updater 488","2016-03-18 13:43:00","Phone","Location 46","Notebook","Not apply","Not connect","","1 - High","2 - Medium","2 - High","","","True","False","Do Not Notify","","","","","Solved Remotely (Permanently)","Resolver 123","2016-03-18 13:44:00","2016-03-24 18:59:00",2103960,NA,1458319380,1456752780,1458319440,1458856740,1566600,537360,0,0,0,0,0,0
"INC0000171","Resolved","True",4,0,15,"True","Caller 2787","Opener 74","2016-02-29 10:33:00","",NA,"Updater 488","2016-03-18 13:44:00","Phone","Location 46","Notebook","Not apply","Not connect","","1 - High","2 - Medium","2 - High","Group 66","Assigned to 135","True","False","Do Not Notify","","","","","Solved Remotely (Permanently)","Resolver 123","2016-03-18 13:44:00","2016-03-24 18:59:00",2103960,NA,1458319440,1456752780,1458319440,1458856740,1566660,537300,0,0,0,0,0,0
"INC0000171","Closed","False",4,0,16,"False","Caller 2787","Opener 74","2016-02-29 10:33:00","",NA,"Updater 770","2016-03-24 18:59:00","Phone","Location 46","Notebook","Not apply","Not connect","","1 - High","2 - Medium","2 - High","Group 66","Assigned to 135","True","False","Do Not Notify","","","","","Solved Remotely (Permanently)","Resolver 123","2016-03-18 13:44:00","2016-03-24 18:59:00",2103960,NA,1458856740,1456752780,1458319440,1458856740,2103960,0,0,0,0,0,0,0
"INC0000345","New","True",0,0,0,"True","Caller 3574","Opener 119","2016-02-29 15:17:00","Creator 100","2016-02-29 15:20:00","Updater 488","2016-02-29 15:20:00","Phone","Location 73","Notebook","Not apply","Access denied","","2 - Medium","2 - Medium","3 - Moderate","","","True","False","Do Not Notify","","","","","Solved (Work Around)","Resolver 111","2016-03-01 16:00:00","2016-03-06 17:00:00",524580,1456770000,1456770000,1456769820,1456858800,1457294400,180,524400,0,0,0,0,0,0
"INC0000345","New","True",0,0,1,"True","Caller 3574","Opener 119","2016-02-29 15:17:00","Creator 100","2016-02-29 15:20:00","Updater 555","2016-02-29 15:49:00","Phone","Location 73","Notebook","Not apply","Access denied","","2 - Medium","2 - Medium","3 - Moderate","","","True","False","Do Not Notify","","","","","Solved (Work Around)","Resolver 111","2016-03-01 16:00:00","2016-03-06 17:00:00",524580,1456770000,1456771740,1456769820,1456858800,1457294400,1920,522660,0,0,0,0,0,0
"INC0000345","New","True",1,0,2,"True","Caller 3574","Opener 119","2016-02-29 15:17:00","Creator 100","2016-02-29 15:20:00","Updater 555","2016-02-29 15:50:00","Phone","Location 73","Notebook","Not apply","Access denied","","2 - Medium","2 - Medium","3 - Moderate","Group 66","","True","False","Do Not Notify","","","","","Solved (Work Around)","Resolver 111","2016-03-01 16:00:00","2016-03-06 17:00:00",524580,1456770000,1456771800,1456769820,1456858800,1457294400,1980,522600,0,0,0,0,0,0
"INC0000345","New","True",2,0,3,"True","Caller 3574","Opener 119","2016-02-29 15:17:00","Creator 100","2016-02-29 15:20:00","Updater 682","2016-03-01 00:01:00","Phone","Location 73","Notebook","Not apply","Access denied","","2 - Medium","2 - Medium","3 - Moderate","Group 22","","True","False","Do Not Notify","","","","","Solved (Work Around)","Resolver 111","2016-03-01 16:00:00","2016-03-06 17:00:00",524580,1456770000,1456801260,1456769820,1456858800,1457294400,31440,493140,0,0,0,0,0,0
"INC0000345","New","True",2,0,4,"True","Caller 3574","Opener 119","2016-02-29 15:17:00","Creator 100","2016-02-29 15:20:00","Updater 682","2016-03-01 00:02:00","Phone","Location 73","Notebook","Not apply","Access denied","","2 - Medium","2 - Medium","3 - Moderate","Group 22","","True","False","Do Not Notify","","","","","Solved (Work Around)","Resolver 111","2016-03-01 16:00:00","2016-03-06 17:00:00",524580,1456770000,1456801320,1456769820,1456858800,1457294400,31500,493080,0,0,0,0,0,0
"INC0000345","New","True",2,0,5,"True","Caller 3574","Opener 119","2016-02-29 15:17:00","Creator 100","2016-02-29 15:20:00","Updater 226","2016-03-01 08:47:00","Phone","Location 73","Notebook","Not apply","Access denied","","2 - Medium","2 - Medium","3 - Moderate","Group 22","","True","False","Do Not Notify","","","","","Solved (Work Around)","Resolver 111","2016-03-01 16:00:00","2016-03-06 17:00:00",524580,1456770000,1456832820,1456769820,1456858800,1457294400,63000,461580,0,0,0,0,0,0
"INC0000345","New","True",2,0,6,"True","Caller 3574","Opener 119","2016-02-29 15:17:00","Creator 100","2016-02-29 15:20:00","Updater 436","2016-03-01 16:00:00","Phone","Location 73","Notebook","Not apply","Access denied","","2 - Medium","2 - Medium","3 - Moderate","Group 22","","True","False","Do Not Notify","","","","","Solved (Work Around)","Resolver 111","2016-03-01 16:00:00","2016-03-06 17:00:00",524580,1456770000,1456858800,1456769820,1456858800,1457294400,88980,435600,0,0,0,0,0,0
"INC0000345","Resolved","True",2,0,7,"True","Caller 3574","Opener 119","2016-02-29 15:17:00","Creator 100","2016-02-29 15:20:00","Updater 436","2016-03-01 16:00:00","Phone","Location 73","Notebook","Not apply","Access denied","","2 - Medium","2 - Medium","3 - Moderate","Group 22","","True","False","Do Not Notify","","","","","Solved (Work Around)","Resolver 111","2016-03-01 16:00:00","2016-03-06 17:00:00",524580,1456770000,1456858800,1456769820,1456858800,1457294400,88980,435600,0,0,0,0,0,0
"INC0000345","Closed","False",2,0,8,"True","Caller 3574","Opener 119","2016-02-29 15:17:00","Creator 100","2016-02-29 15:20:00","Updater 770","2016-03-06 17:00:00","Phone","Location 73","Notebook","Not apply","Access denied","","2 - Medium","2 - Medium","3 - Moderate","Group 22","","True","False","Do Not Notify","","","","","Solved (Work Around)","Resolver 111","2016-03-01 16:00:00","2016-03-06 17:00:00",524580,1456770000,1457294400,1456769820,1456858800,1457294400,524580,0,0,0,0,0,0,0
"INC0000387","New","True",0,0,0,"True","Caller 229","Opener 24","2016-02-29 16:38:00","Creator 21","2016-02-29 16:46:00","Updater 109","2016-02-29 16:46:00","Phone","Location 73","Notebook","Not apply","","","2 - Medium","2 - Medium","3 - Moderate","Group 22","Assigned to 195","True","False","Do Not Notify","","","","","Solved (Permanently)","Resolver 181","2016-03-09 10:57:00","2016-03-24 18:40:00",2080920,1456775160,1456775160,1456774680,1457531820,1458855600,480,2080440,0,0,0,0,0,0
"INC0000387","New","True",0,0,1,"True","Caller 229","Opener 24","2016-02-29 16:38:00","Creator 21","2016-02-29 16:46:00","Updater 207","2016-03-01 16:41:00","Phone","Location 73","Notebook","Not apply","","","2 - Medium","2 - Medium","3 - Moderate","Group 22","Assigned to 195","True","False","Do Not Notify","","","","","Solved (Permanently)","Resolver 181","2016-03-09 10:57:00","2016-03-24 18:40:00",2080920,1456775160,1456861260,1456774680,1457531820,1458855600,86580,1994340,0,0,0,0,0,0
"INC0000387","Awaiting User Info","True",0,0,2,"True","Caller 229","Opener 24","2016-02-29 16:38:00","Creator 21","2016-02-29 16:46:00","Updater 207","2016-03-01 16:41:00","Phone","Location 73","Notebook","Not apply","","","2 - Medium","2 - Medium","3 - Moderate","Group 22","Assigned to 195","True","False","Do Not Notify","","","","","Solved (Permanently)","Resolver 181","2016-03-09 10:57:00","2016-03-24 18:40:00",2080920,1456775160,1456861260,1456774680,1457531820,1458855600,86580,1994340,0,0,0,0,0,0
"INC0000387","Awaiting User Info","True",0,0,3,"True","Caller 229","Opener 24","2016-02-29 16:38:00","Creator 21","2016-02-29 16:46:00","Updater 207","2016-03-02 13:06:00","Phone","Location 73","Notebook","Not apply","","","2 - Medium","2 - Medium","3 - Moderate","Group 22","Assigned to 195","True","False","Do Not Notify","","","","","Solved (Permanently)","Resolver 181","2016-03-09 10:57:00","2016-03-24 18:40:00",2080920,1456775160,1456934760,1456774680,1457531820,1458855600,160080,1920840,0,0,0,0,0,0
"INC0000387","Awaiting User Info","True",0,0,4,"True","Caller 229","Opener 24","2016-02-29 16:38:00","Creator 21","2016-02-29 16:46:00","Updater 701","2016-03-04 09:53:00","Phone","Location 73","Notebook","Not apply","","","2 - Medium","2 - Medium","3 - Moderate","Group 22","Assigned to 63","True","False","Do Not Notify","","","","","Solved (Permanently)","Resolver 181","2016-03-09 10:57:00","2016-03-24 18:40:00",2080920,1456775160,1457095980,1456774680,1457531820,1458855600,321300,1759620,0,0,0,0,0,0
"INC0000387","Awaiting User Info","True",0,0,6,"True","Caller 229","Opener 24","2016-02-29 16:38:00","Creator 21","2016-02-29 16:46:00","Updater 207","2016-03-08 09:59:00","Phone","Location 73","Notebook","Not apply","","","2 - Medium","2 - Medium","3 - Moderate","Group 22","Assigned to 195","True","False","Do Not Notify","","","","","Solved (Permanently)","Resolver 181","2016-03-09 10:57:00","2016-03-24 18:40:00",2080920,1456775160,1457441940,1456774680,1457531820,1458855600,667260,1413660,0,0,0,0,0,0
"INC0000387","Awaiting User Info","True",0,0,7,"True","Caller 229","Opener 24","2016-02-29 16:38:00","Creator 21","2016-02-29 16:46:00","Updater 701","2016-03-09 10:57:00","Phone","Location 73","Notebook","Not apply","","","2 - Medium","2 - Medium","3 - Moderate","Group 22","Assigned to 195","True","False","Do Not Notify","","","","","Solved (Permanently)","Resolver 181","2016-03-09 10:57:00","2016-03-24 18:40:00",2080920,1456775160,1457531820,1456774680,1457531820,1458855600,757140,1323780,0,0,0,0,0,0
"INC0000387","Resolved","True",0,0,8,"True","Caller 229","Opener 24","2016-02-29 16:38:00","Creator 21","2016-02-29 16:46:00","Updater 701","2016-03-09 10:57:00","Phone","Location 73","Notebook","Not apply","","","2 - Medium","2 - Medium","3 - Moderate","Group 22","Assigned to 195","True","False","Do Not Notify","","","","","Solved (Permanently)","Resolver 181","2016-03-09 10:57:00","2016-03-24 18:40:00",2080920,1456775160,1457531820,1456774680,1457531820,1458855600,757140,1323780,0,0,0,0,0,0
